cell_key,modality,arch,prior,task,seed,F1,LE,DE,RDE,SELD
MIC_CRNN_full,MIC,CRNN,full,110,0,9.78,49.86,0.79,0.34,0.577
MIC_CRNN_full,MIC,CRNN,full,110,1,8.93,48.39,0.52,0.25,0.515
MIC_CRNN_full,MIC,CRNN,full,110,2,10.04,36.93,0.53,0.25,0.57
MIC_CRNN_full,MIC,CRNN,full,110,3,9.67,51.42,0.82,0.32,0.538
MIC_CRNN_full,MIC,CRNN,full,110,4,9.51,40.28,0.45,0.24,0.536
MIC_CRNN_nogeom,MIC,CRNN,nogeom,111,0,10.37,38.04,0.57,0.3,0.584
MIC_CRNN_nogeom,MIC,CRNN,nogeom,111,1,9.35,50.44,0.68,0.28,0.527
MIC_CRNN_nogeom,MIC,CRNN,nogeom,111,2,10.16,49.97,0.65,0.29,0.525
MIC_CRNN_nogeom,MIC,CRNN,nogeom,111,3,10.56,38.48,0.65,0.27,0.537
MIC_CRNN_nogeom,MIC,CRNN,nogeom,111,4,9.5,54.36,0.98,0.34,0.55
FOA_CRNN_full,FOA,CRNN,full,130,0,12.7,38.82,0.49,0.27,0.53
FOA_CRNN_full,FOA,CRNN,full,130,1,13.25,40.68,0.52,0.26,0.53
FOA_CRNN_full,FOA,CRNN,full,130,2,12.61,41.69,0.53,0.27,0.535
FOA_CRNN_full,FOA,CRNN,full,130,3,11.85,37.0,0.55,0.27,0.531
FOA_CRNN_full,FOA,CRNN,full,130,4,13.54,42.38,0.5,0.25,0.529
FOA_CRNN_nogeom,FOA,CRNN,nogeom,131,0,12.87,40.32,0.55,0.28,0.536
FOA_CRNN_nogeom,FOA,CRNN,nogeom,131,1,12.07,50.87,0.67,0.27,0.55
FOA_CRNN_nogeom,FOA,CRNN,nogeom,131,2,13.5,52.09,0.76,0.3,0.521
FOA_CRNN_nogeom,FOA,CRNN,nogeom,131,3,12.68,39.58,0.55,0.29,0.537
FOA_CRNN_nogeom,FOA,CRNN,nogeom,131,4,12.08,42.83,0.61,0.3,0.546
MIC_XFM_full,MIC,Xfm,full,141,0,10.41,48.58,0.57,0.29,0.597
MIC_XFM_full,MIC,Xfm,full,141,1,8.5,51.94,0.62,0.32,0.579
MIC_XFM_full,MIC,Xfm,full,141,2,8.92,49.99,0.59,0.31,0.717
MIC_XFM_full,MIC,Xfm,full,141,3,8.75,50.37,0.65,0.33,0.649
MIC_XFM_full,MIC,Xfm,full,141,4,9.08,38.93,0.42,0.22,0.61
MIC_XFM_nogeom,MIC,Xfm,nogeom,142,0,9.94,43.83,0.64,0.32,0.563
MIC_XFM_nogeom,MIC,Xfm,nogeom,142,1,9.65,40.35,0.5,0.28,0.623
MIC_XFM_nogeom,MIC,Xfm,nogeom,142,2,8.62,41.88,0.52,0.31,0.635
MIC_XFM_nogeom,MIC,Xfm,nogeom,142,3,9.8,38.7,0.51,0.27,0.578
MIC_XFM_nogeom,MIC,Xfm,nogeom,142,4,10.12,46.56,0.66,0.3,0.597
FOA_XFM_full,FOA,Xfm,full,151,0,10.53,44.07,0.62,0.31,0.632
FOA_XFM_full,FOA,Xfm,full,151,1,11.45,37.63,0.54,0.27,0.611
FOA_XFM_full,FOA,Xfm,full,151,2,11.12,39.55,0.5,0.3,0.62
