best_epoch,best_metric,data_digest,dist,doae,f20,job,rde,seed,seld,status,task,test_log,train_log
56,seld,e326b4a7ee06b2ce,0.47,60.87,0.78,det_seld_seed0,0.28,0,0.785,complete,184,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_184_det_seld_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_184_det_seld_seed0.log
56,seld,e326b4a7ee06b2ce,0.58,49.34,4.13,det_seld_seed0,0.29,0,0.728,complete,185,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_185_det_seld_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_185_det_seld_seed0.log
57,seld,e326b4a7ee06b2ce,0.51,38.53,9.32,det_seld_seed0,0.27,0,0.58,complete,186,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_186_det_seld_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_186_det_seld_seed0.log
47,seld,e326b4a7ee06b2ce,0.51,41.97,11.37,det_seld_seed0,0.27,0,0.578,complete,187,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_187_det_seld_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_187_det_seld_seed0.log
56,seld,e326b4a7ee06b2ce,0.45,46.94,6.68,det_seld_seed1,0.24,1,0.631,complete,184,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_184_det_seld_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_184_det_seld_seed1.log
55,seld,e326b4a7ee06b2ce,0.52,52.39,6.11,det_seld_seed1,0.26,1,0.607,complete,185,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_185_det_seld_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_185_det_seld_seed1.log
54,seld,e326b4a7ee06b2ce,0.66,48.0,7.51,det_seld_seed1,0.3,1,0.57,complete,186,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_186_det_seld_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_186_det_seld_seed1.log
54,seld,e326b4a7ee06b2ce,0.55,45.93,8.46,det_seld_seed1,0.27,1,0.555,complete,187,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_187_det_seld_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_187_det_seld_seed1.log
57,seld,e326b4a7ee06b2ce,0.54,69.12,1.23,det_seld_seed2,0.27,2,0.789,complete,184,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_184_det_seld_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_184_det_seld_seed2.log
57,seld,e326b4a7ee06b2ce,0.58,52.44,1.18,det_seld_seed2,0.26,2,0.773,complete,185,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_185_det_seld_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_185_det_seld_seed2.log
54,seld,e326b4a7ee06b2ce,0.63,44.87,10.03,det_seld_seed2,0.33,2,0.565,complete,186,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_186_det_seld_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_186_det_seld_seed2.log
59,seld,e326b4a7ee06b2ce,0.66,29.07,10.37,det_seld_seed2,0.3,2,0.572,complete,187,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_187_det_seld_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_187_det_seld_seed2.log
