best_epoch,best_metric,data_digest,dist,doae,f20,job,rde,seed,seld,status,task,test_log,train_log
54,,,0.57,41.86,6.97,gpu_seed0,0.33,0,0.719,complete,184,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_184_gpu_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_184_gpu_seed0.log
57,,,0.58,50.71,7.89,gpu_seed0,0.34,0,0.656,complete,185,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_185_gpu_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_185_gpu_seed0.log
47,,,0.66,38.3,11.51,gpu_seed0,0.33,0,0.625,complete,186,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_186_gpu_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_186_gpu_seed0.log
39,,,0.58,37.1,10.02,gpu_seed0,0.3,0,0.661,complete,187,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_187_gpu_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_187_gpu_seed0.log
57,,,0.52,58.04,7.14,gpu_seed1,0.28,1,0.619,complete,184,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_184_gpu_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_184_gpu_seed1.log
52,,,0.77,60.75,7.15,gpu_seed1,0.35,1,0.639,complete,185,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_185_gpu_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_185_gpu_seed1.log
51,,,0.52,35.95,10.63,gpu_seed1,0.27,1,0.573,complete,186,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_186_gpu_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_186_gpu_seed1.log
35,,,0.72,37.72,9.69,gpu_seed1,0.37,1,0.714,complete,187,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_187_gpu_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_187_gpu_seed1.log
56,,,0.43,53.83,6.93,gpu_seed2,0.24,2,0.678,complete,184,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_184_gpu_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_184_gpu_seed2.log
59,,,0.51,41.33,6.2,gpu_seed2,0.27,2,0.71,complete,185,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_185_gpu_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_185_gpu_seed2.log
32,,,0.73,32.66,10.46,gpu_seed2,0.41,2,0.749,complete,186,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_186_gpu_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_186_gpu_seed2.log
54,,,0.61,40.77,12.14,gpu_seed2,0.31,2,0.621,complete,187,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_187_gpu_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_187_gpu_seed2.log
