best_epoch,best_metric,data_digest,dist,doae,f20,job,rde,seed,seld,status,task,test_log,train_log
58,seld,e326b4a7ee06b2ce,0.51,43.74,3.57,det_gca_seed0,0.26,0,0.604,complete,161,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_161_det_gca_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_161_det_gca_seed0.log
57,seld,e326b4a7ee06b2ce,0.49,41.09,4.07,det_gca_seed0,0.3,0,0.646,complete,162,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_162_det_gca_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_162_det_gca_seed0.log
57,seld,e326b4a7ee06b2ce,0.48,53.12,6.27,det_gca_seed0,0.28,0,0.613,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_det_gca_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_det_gca_seed0.log
58,seld,e326b4a7ee06b2ce,0.45,52.93,5.58,det_gca_seed0,0.25,0,0.682,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_det_gca_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_det_gca_seed0.log
53,seld,e326b4a7ee06b2ce,0.63,44.83,1.76,det_gca_seed1,0.3,1,0.734,complete,161,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_161_det_gca_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_161_det_gca_seed1.log
51,seld,e326b4a7ee06b2ce,0.7,45.29,2.97,det_gca_seed1,0.27,1,0.726,complete,162,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_162_det_gca_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_162_det_gca_seed1.log
55,seld,e326b4a7ee06b2ce,0.48,52.7,5.7,det_gca_seed1,0.25,1,0.645,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_det_gca_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_det_gca_seed1.log
52,seld,e326b4a7ee06b2ce,0.56,59.2,4.23,det_gca_seed1,0.26,1,0.66,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_det_gca_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_det_gca_seed1.log
57,seld,e326b4a7ee06b2ce,0.61,53.46,6.37,det_gca_seed2,0.27,2,0.685,complete,161,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_161_det_gca_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_161_det_gca_seed2.log
55,seld,e326b4a7ee06b2ce,0.59,51.66,2.44,det_gca_seed2,0.33,2,0.637,complete,162,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_162_det_gca_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_162_det_gca_seed2.log
49,seld,e326b4a7ee06b2ce,0.54,45.95,5.11,det_gca_seed2,0.3,2,0.761,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_det_gca_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_det_gca_seed2.log
56,seld,e326b4a7ee06b2ce,0.5,50.76,2.55,det_gca_seed2,0.29,2,0.734,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_det_gca_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_det_gca_seed2.log
56,seld,e326b4a7ee06b2ce,0.46,47.99,5.42,det_gca_seed3,0.25,3,0.641,complete,161,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_161_det_gca_seed3_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_161_det_gca_seed3.log
58,seld,e326b4a7ee06b2ce,0.56,51.96,2.72,det_gca_seed3,0.32,3,0.741,complete,162,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_162_det_gca_seed3_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_162_det_gca_seed3.log
55,seld,e326b4a7ee06b2ce,0.51,52.13,7.32,det_gca_seed3,0.26,3,0.567,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_det_gca_seed3_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_det_gca_seed3.log
56,seld,e326b4a7ee06b2ce,,,,det_gca_seed3,,3,,missing,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_det_gca_seed3_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_det_gca_seed3.log
,,,,,,det_gca_seed4,,4,,missing,161,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_161_det_gca_seed4_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_161_det_gca_seed4.log
,,,,,,det_gca_seed4,,4,,missing,162,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_162_det_gca_seed4_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_162_det_gca_seed4.log
,,,,,,det_gca_seed4,,4,,missing,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_det_gca_seed4_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_det_gca_seed4.log
,,,,,,det_gca_seed4,,4,,missing,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_det_gca_seed4_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_det_gca_seed4.log
