best_epoch,best_metric,data_digest,dist,doae,dropout,f20,job,lr,rde,seed,seld,status,task,test_log,train_log
53,seld,e326b4a7ee06b2ce,0.47,49.15,,11.05,det_gca_seed0,,0.25,0,0.508,complete,130,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_130_det_gca_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_130_det_gca_seed0.log
43,seld,e326b4a7ee06b2ce,0.51,46.73,,11.83,det_gca_seed0,,0.27,0,0.509,complete,131,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_131_det_gca_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_131_det_gca_seed0.log
51,seld,e326b4a7ee06b2ce,0.71,46.19,,11.05,det_gca_seed0,,0.3,0,0.555,complete,141,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_141_det_gca_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_141_det_gca_seed0.log
42,seld,e326b4a7ee06b2ce,0.53,43.95,,6.48,det_gca_seed0,,0.28,0,0.562,complete,142,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_142_det_gca_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_142_det_gca_seed0.log
40,seld,e326b4a7ee06b2ce,0.68,48.03,,12.01,det_gca_seed1,,0.26,1,0.507,complete,130,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_130_det_gca_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_130_det_gca_seed1.log
40,seld,e326b4a7ee06b2ce,0.45,44.51,,11.4,det_gca_seed1,,0.24,1,0.496,complete,131,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_131_det_gca_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_131_det_gca_seed1.log
58,seld,e326b4a7ee06b2ce,0.61,37.15,,7.81,det_gca_seed1,,0.29,1,0.55,complete,141,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_141_det_gca_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_141_det_gca_seed1.log
58,seld,e326b4a7ee06b2ce,0.75,48.83,,8.98,det_gca_seed1,,0.32,1,0.535,complete,142,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_142_det_gca_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_142_det_gca_seed1.log
53,seld,e326b4a7ee06b2ce,0.48,46.81,,10.19,det_gca_seed2,,0.24,2,0.506,complete,130,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_130_det_gca_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_130_det_gca_seed2.log
39,seld,e326b4a7ee06b2ce,0.59,48.0,,12.24,det_gca_seed2,,0.27,2,0.508,complete,131,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_131_det_gca_seed2_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_131_det_gca_seed2.log
